,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,WHH,WHD,WHA,H_ATT,H_MID,H_DEF,H_OVR,A_ATT,A_MID,A_DEF,A_OVR
20,2008/2009,30/08/08,Arsenal,Newcastle,3.0,0.0,H,2.0,0.0,H,R Styles,20.0,4.0,14.0,2.0,12.0,11.0,12.0,1.0,2.0,2.0,0.0,0.0,1.44,4.0,8.0,85.0,83.0,83.0,81.0,81.0,76.0,76.0,76.0
21,2008/2009,30/08/08,Bolton,West Brom,0.0,0.0,D,0.0,0.0,D,K Stroud,18.0,12.0,9.0,7.0,18.0,16.0,7.0,5.0,2.0,2.0,0.0,0.0,1.91,3.3,4.2,75.0,75.0,72.0,74.0,68.0,71.0,69.0,71.0
22,2008/2009,30/08/08,Everton,Portsmouth,0.0,3.0,A,0.0,2.0,A,M Halsey,16.0,6.0,7.0,5.0,5.0,11.0,4.0,3.0,1.0,0.0,0.0,0.0,2.1,3.3,3.5,82.0,75.0,78.0,78.0,78.0,79.0,76.0,76.0
23,2008/2009,30/08/08,Hull,Wigan,0.0,5.0,A,0.0,2.0,A,M Jones,10.0,8.0,5.0,5.0,18.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,2.5,3.2,2.88,70.0,68.0,68.0,71.0,75.0,74.0,71.0,73.0
24,2008/2009,30/08/08,Middlesbrough,Stoke,2.0,1.0,H,1.0,0.0,H,M Dean,21.0,7.0,12.0,2.0,14.0,18.0,4.0,5.0,2.0,4.0,0.0,1.0,1.62,3.6,6.0,80.0,75.0,73.0,74.0,75.0,68.0,67.0,70.0
25,2008/2009,30/08/08,West Ham,Blackburn,4.0,1.0,H,2.0,1.0,H,M Riley,11.0,12.0,6.0,7.0,14.0,21.0,10.0,4.0,1.0,5.0,0.0,0.0,2.4,3.3,2.9,76.0,76.0,76.0,76.0,78.0,76.0,76.0,76.0
26,2008/2009,31/08/08,Aston Villa,Liverpool,0.0,0.0,D,0.0,0.0,D,M Atkinson,5.0,8.0,2.0,3.0,9.0,13.0,5.0,8.0,0.0,2.0,0.0,0.0,3.0,3.2,2.38,81.0,81.0,77.0,78.0,85.0,83.0,80.0,81.0
27,2008/2009,31/08/08,Chelsea,Tottenham,1.0,1.0,D,1.0,1.0,D,H Webb,12.0,6.0,3.0,6.0,10.0,13.0,5.0,8.0,3.0,0.0,0.0,0.0,1.4,4.33,8.5,87.0,85.0,84.0,84.0,80.0,80.0,79.0,79.0
28,2008/2009,31/08/08,Sunderland,Man City,0.0,3.0,A,0.0,1.0,A,C Foy,10.0,9.0,4.0,8.0,20.0,11.0,3.0,3.0,4.0,2.0,0.0,0.0,2.25,3.2,3.3,78.0,74.0,72.0,75.0,82.0,79.0,78.0,79.0
29,2008/2009,13/09/08,Blackburn,Arsenal,0.0,4.0,A,0.0,2.0,A,M Dean,10.0,17.0,3.0,10.0,8.0,8.0,5.0,5.0,1.0,1.0,0.0,0.0,4.75,3.4,1.8,78.0,76.0,76.0,76.0,85.0,83.0,83.0,81.0
30,2008/2009,13/09/08,Fulham,Bolton,2.0,1.0,H,2.0,0.0,H,S Tanner,20.0,8.0,13.0,7.0,15.0,11.0,12.0,6.0,1.0,1.0,0.0,0.0,2.2,3.3,3.3,80.0,74.0,72.0,74.0,75.0,75.0,72.0,74.0
31,2008/2009,13/09/08,Liverpool,Man United,2.0,1.0,H,1.0,1.0,D,H Webb,16.0,7.0,11.0,3.0,10.0,18.0,5.0,4.0,0.0,3.0,0.0,1.0,2.9,3.1,2.5,85.0,83.0,80.0,81.0,86.0,85.0,84.0,84.0
32,2008/2009,13/09/08,Man City,Chelsea,1.0,3.0,A,1.0,1.0,D,M Halsey,13.0,18.0,7.0,8.0,14.0,10.0,8.0,5.0,0.0,1.0,0.0,1.0,4.2,3.3,1.91,82.0,79.0,78.0,79.0,87.0,85.0,84.0,84.0
33,2008/2009,13/09/08,Newcastle,Hull,1.0,2.0,A,0.0,1.0,A,A Marriner,13.0,8.0,4.0,4.0,13.0,17.0,5.0,3.0,0.0,2.0,1.0,0.0,1.7,3.4,5.5,81.0,76.0,76.0,76.0,70.0,68.0,68.0,71.0
34,2008/2009,13/09/08,Portsmouth,Middlesbrough,2.0,1.0,H,0.0,1.0,A,S Attwell,21.0,7.0,12.0,3.0,8.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,3.3,3.8,78.0,79.0,76.0,76.0,80.0,75.0,73.0,74.0
35,2008/2009,13/09/08,West Brom,West Ham,3.0,2.0,H,2.0,2.0,D,L Probert,13.0,21.0,8.0,13.0,9.0,18.0,8.0,8.0,1.0,1.0,0.0,0.0,2.4,3.3,2.9,68.0,71.0,69.0,71.0,76.0,76.0,76.0,76.0
36,2008/2009,13/09/08,Wigan,Sunderland,1.0,1.0,D,0.0,1.0,A,R Styles,12.0,6.0,8.0,5.0,10.0,9.0,8.0,6.0,1.0,1.0,1.0,0.0,2.05,3.25,3.75,75.0,74.0,71.0,73.0,78.0,74.0,72.0,75.0
37,2008/2009,14/09/08,Stoke,Everton,2.0,3.0,A,0.0,1.0,A,A Wiley,12.0,8.0,7.0,5.0,10.0,19.0,7.0,8.0,2.0,1.0,0.0,0.0,3.3,3.3,2.2,75.0,68.0,67.0,70.0,82.0,75.0,78.0,78.0
38,2008/2009,15/09/08,Tottenham,Aston Villa,1.0,2.0,A,0.0,1.0,A,S Bennett,17.0,17.0,10.0,13.0,15.0,12.0,12.0,8.0,1.0,4.0,0.0,0.0,2.05,3.3,3.6,80.0,80.0,79.0,79.0,81.0,81.0,77.0,78.0
39,2008/2009,20/09/08,Blackburn,Fulham,1.0,0.0,H,0.0,0.0,D,L Probert,11.0,11.0,4.0,5.0,13.0,11.0,4.0,3.0,2.0,0.0,0.0,0.0,2.1,3.3,3.5,78.0,76.0,76.0,76.0,80.0,74.0,72.0,74.0
40,2008/2009,20/09/08,Bolton,Arsenal,1.0,3.0,A,1.0,2.0,A,S Bennett,12.0,20.0,8.0,9.0,12.0,10.0,7.0,17.0,2.0,2.0,0.0,0.0,6.0,3.6,1.62,75.0,75.0,72.0,74.0,85.0,83.0,83.0,81.0
41,2008/2009,20/09/08,Liverpool,Stoke,0.0,0.0,D,0.0,0.0,D,A Marriner,27.0,3.0,11.0,2.0,8.0,10.0,20.0,3.0,1.0,1.0,0.0,0.0,1.2,6.0,15.0,85.0,83.0,80.0,81.0,75.0,68.0,67.0,70.0
42,2008/2009,20/09/08,Sunderland,Middlesbrough,2.0,0.0,H,0.0,0.0,D,H Webb,17.0,14.0,11.0,11.0,9.0,16.0,8.0,7.0,2.0,3.0,0.0,0.0,2.3,3.2,3.2,78.0,74.0,72.0,75.0,80.0,75.0,73.0,74.0
43,2008/2009,20/09/08,West Ham,Newcastle,3.0,1.0,H,2.0,0.0,H,P Dowd,12.0,11.0,6.0,8.0,8.0,21.0,2.0,6.0,1.0,2.0,0.0,0.0,2.0,3.3,3.8,76.0,76.0,76.0,76.0,81.0,76.0,76.0,76.0
44,2008/2009,21/09/08,Chelsea,Man United,1.0,1.0,D,0.0,1.0,A,M Riley,20.0,13.0,13.0,8.0,15.0,18.0,7.0,4.0,1.0,7.0,0.0,0.0,2.2,3.0,3.6,87.0,85.0,84.0,84.0,86.0,85.0,84.0,84.0
45,2008/2009,21/09/08,Hull,Everton,2.0,2.0,D,1.0,0.0,H,L Mason,9.0,17.0,5.0,8.0,11.0,12.0,4.0,6.0,0.0,1.0,0.0,0.0,3.25,3.25,2.25,70.0,68.0,68.0,71.0,82.0,75.0,78.0,78.0
46,2008/2009,21/09/08,Man City,Portsmouth,6.0,0.0,H,2.0,0.0,H,A Wiley,14.0,10.0,10.0,4.0,13.0,14.0,8.0,5.0,0.0,1.0,0.0,0.0,2.0,3.3,3.8,82.0,79.0,78.0,79.0,78.0,79.0,76.0,76.0
47,2008/2009,21/09/08,Tottenham,Wigan,0.0,0.0,D,0.0,0.0,D,S Tanner,11.0,14.0,4.0,6.0,13.0,12.0,3.0,4.0,2.0,2.0,0.0,0.0,1.7,3.4,5.5,80.0,80.0,79.0,79.0,75.0,74.0,71.0,73.0
48,2008/2009,21/09/08,West Brom,Aston Villa,1.0,2.0,A,1.0,2.0,A,M Dean,10.0,10.0,6.0,5.0,22.0,16.0,5.0,6.0,3.0,3.0,0.0,0.0,2.9,3.3,2.4,68.0,71.0,69.0,71.0,81.0,81.0,77.0,78.0
49,2008/2009,27/09/08,Arsenal,Hull,1.0,2.0,A,0.0,0.0,D,A Wiley,18.0,7.0,9.0,5.0,8.0,7.0,15.0,4.0,2.0,1.0,0.0,0.0,1.2,5.75,17.0,85.0,83.0,83.0,81.0,70.0,68.0,68.0,71.0
50,2008/2009,27/09/08,Aston Villa,Sunderland,2.0,1.0,H,2.0,1.0,H,P Walton,12.0,9.0,8.0,3.0,8.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0,1.57,3.6,6.5,81.0,81.0,77.0,78.0,78.0,74.0,72.0,75.0
51,2008/2009,27/09/08,Everton,Liverpool,0.0,2.0,A,0.0,0.0,D,M Riley,4.0,11.0,2.0,6.0,17.0,20.0,7.0,4.0,3.0,3.0,1.0,0.0,3.6,3.25,2.1,82.0,75.0,78.0,78.0,85.0,83.0,80.0,81.0
52,2008/2009,27/09/08,Fulham,West Ham,1.0,2.0,A,0.0,2.0,A,A Marriner,18.0,16.0,6.0,10.0,15.0,13.0,2.0,4.0,4.0,1.0,1.0,0.0,2.25,3.25,3.25,80.0,74.0,72.0,74.0,76.0,76.0,76.0,76.0
53,2008/2009,27/09/08,Man United,Bolton,2.0,0.0,H,0.0,0.0,D,R Styles,31.0,10.0,24.0,5.0,8.0,10.0,16.0,4.0,0.0,3.0,0.0,0.0,1.2,6.0,15.0,86.0,85.0,84.0,84.0,75.0,75.0,72.0,74.0
54,2008/2009,27/09/08,Middlesbrough,West Brom,0.0,1.0,A,0.0,0.0,D,C Foy,22.0,14.0,13.0,9.0,14.0,13.0,11.0,8.0,2.0,4.0,0.0,0.0,1.8,3.4,4.6,80.0,75.0,73.0,74.0,68.0,71.0,69.0,71.0
55,2008/2009,27/09/08,Newcastle,Blackburn,1.0,2.0,A,0.0,2.0,A,S Tanner,4.0,9.0,2.0,8.0,6.0,19.0,5.0,5.0,0.0,4.0,0.0,0.0,2.5,3.3,2.8,81.0,76.0,76.0,76.0,78.0,76.0,76.0,76.0
56,2008/2009,27/09/08,Stoke,Chelsea,0.0,2.0,A,0.0,1.0,A,M Atkinson,5.0,14.0,2.0,9.0,9.0,6.0,5.0,5.0,2.0,1.0,0.0,0.0,9.5,4.5,1.36,75.0,68.0,67.0,70.0,87.0,85.0,84.0,84.0
57,2008/2009,28/09/08,Portsmouth,Tottenham,2.0,0.0,H,1.0,0.0,H,M Dean,8.0,15.0,6.0,8.0,18.0,13.0,3.0,6.0,4.0,3.0,1.0,0.0,2.5,3.25,2.8,78.0,79.0,76.0,76.0,80.0,80.0,79.0,79.0
58,2008/2009,28/09/08,Wigan,Man City,2.0,1.0,H,2.0,1.0,H,S Bennett,9.0,11.0,4.0,6.0,12.0,21.0,5.0,3.0,3.0,4.0,0.0,0.0,3.1,3.3,2.3,75.0,74.0,71.0,73.0,82.0,79.0,78.0,79.0
59,2008/2009,04/10/08,Blackburn,Man United,0.0,2.0,A,0.0,1.0,A,S Bennett,6.0,18.0,3.0,9.0,11.0,8.0,3.0,4.0,2.0,1.0,0.0,0.0,6.0,3.8,1.57,78.0,76.0,76.0,76.0,86.0,85.0,84.0,84.0
60,2008/2009,04/10/08,Sunderland,Arsenal,1.0,1.0,D,0.0,0.0,D,L Mason,8.0,13.0,5.0,7.0,10.0,11.0,1.0,7.0,3.0,5.0,0.0,0.0,6.0,3.8,1.57,78.0,74.0,72.0,75.0,85.0,83.0,83.0,81.0
61,2008/2009,04/10/08,West Brom,Fulham,1.0,0.0,H,0.0,0.0,D,P Dowd,13.0,14.0,8.0,5.0,10.0,13.0,8.0,6.0,2.0,1.0,0.0,0.0,2.2,3.3,3.3,68.0,71.0,69.0,71.0,80.0,74.0,72.0,74.0
62,2008/2009,04/10/08,Wigan,Middlesbrough,0.0,1.0,A,0.0,0.0,D,M Atkinson,21.0,6.0,9.0,2.0,10.0,13.0,8.0,2.0,3.0,0.0,0.0,0.0,2.1,3.25,3.6,75.0,74.0,71.0,73.0,80.0,75.0,73.0,74.0
63,2008/2009,05/10/08,Chelsea,Aston Villa,2.0,0.0,H,2.0,0.0,H,C Foy,27.0,8.0,15.0,3.0,11.0,13.0,7.0,1.0,0.0,3.0,0.0,0.0,1.44,4.2,7.5,87.0,85.0,84.0,84.0,81.0,81.0,77.0,78.0
64,2008/2009,05/10/08,Everton,Newcastle,2.0,2.0,D,2.0,1.0,H,H Webb,13.0,11.0,5.0,9.0,18.0,15.0,3.0,5.0,1.0,3.0,0.0,0.0,1.75,3.4,5.0,82.0,75.0,78.0,78.0,81.0,76.0,76.0,76.0
65,2008/2009,05/10/08,Man City,Liverpool,2.0,3.0,A,2.0,0.0,H,P Walton,7.0,14.0,5.0,7.0,11.0,12.0,1.0,7.0,1.0,1.0,1.0,0.0,3.25,3.25,2.25,82.0,79.0,78.0,79.0,85.0,83.0,80.0,81.0
66,2008/2009,05/10/08,Portsmouth,Stoke,2.0,1.0,H,1.0,0.0,H,A Marriner,17.0,8.0,11.0,5.0,7.0,15.0,2.0,5.0,0.0,3.0,0.0,0.0,1.62,3.6,6.0,78.0,79.0,76.0,76.0,75.0,68.0,67.0,70.0
67,2008/2009,05/10/08,Tottenham,Hull,0.0,1.0,A,0.0,1.0,A,R Styles,27.0,10.0,16.0,6.0,15.0,15.0,12.0,0.0,4.0,2.0,0.0,0.0,1.67,3.8,5.0,80.0,80.0,79.0,79.0,70.0,68.0,68.0,71.0
68,2008/2009,05/10/08,West Ham,Bolton,1.0,3.0,A,0.0,2.0,A,M Dean,13.0,12.0,5.0,6.0,15.0,8.0,7.0,7.0,4.0,3.0,0.0,0.0,1.83,3.3,4.6,76.0,76.0,76.0,76.0,75.0,75.0,72.0,74.0
69,2008/2009,18/10/08,Arsenal,Everton,3.0,1.0,H,0.0,1.0,A,P Walton,22.0,7.0,14.0,3.0,8.0,13.0,7.0,4.0,2.0,4.0,0.0,0.0,1.36,4.5,9.5,85.0,83.0,83.0,81.0,82.0,75.0,78.0,78.0
70,2008/2009,18/10/08,Aston Villa,Portsmouth,0.0,0.0,D,0.0,0.0,D,M Riley,10.0,8.0,3.0,3.0,18.0,19.0,11.0,2.0,1.0,3.0,0.0,1.0,1.83,3.3,4.6,81.0,81.0,77.0,78.0,78.0,79.0,76.0,76.0
71,2008/2009,18/10/08,Bolton,Blackburn,0.0,0.0,D,0.0,0.0,D,H Webb,10.0,8.0,4.0,1.0,16.0,12.0,11.0,8.0,1.0,3.0,0.0,0.0,2.5,3.2,2.88,75.0,75.0,72.0,74.0,78.0,76.0,76.0,76.0
72,2008/2009,18/10/08,Fulham,Sunderland,0.0,0.0,D,0.0,0.0,D,K Stroud,13.0,14.0,9.0,7.0,12.0,8.0,8.0,5.0,1.0,1.0,0.0,0.0,2.2,3.2,3.4,80.0,74.0,72.0,74.0,78.0,74.0,72.0,75.0
73,2008/2009,18/10/08,Liverpool,Wigan,3.0,2.0,H,1.0,2.0,A,A Wiley,17.0,7.0,7.0,4.0,10.0,13.0,5.0,2.0,1.0,1.0,0.0,1.0,1.33,4.5,11.0,85.0,83.0,80.0,81.0,75.0,74.0,71.0,73.0
74,2008/2009,18/10/08,Man United,West Brom,4.0,0.0,H,0.0,0.0,D,M Halsey,18.0,6.0,14.0,2.0,11.0,14.0,15.0,1.0,0.0,1.0,0.0,0.0,1.2,6.0,15.0,86.0,85.0,84.0,84.0,68.0,71.0,69.0,71.0
75,2008/2009,18/10/08,Middlesbrough,Chelsea,0.0,5.0,A,0.0,1.0,A,P Dowd,7.0,21.0,4.0,14.0,13.0,9.0,5.0,7.0,2.0,0.0,0.0,0.0,6.5,3.5,1.6,80.0,75.0,73.0,74.0,87.0,85.0,84.0,84.0
76,2008/2009,19/10/08,Hull,West Ham,1.0,0.0,H,0.0,0.0,D,C Foy,12.0,14.0,4.0,5.0,11.0,11.0,3.0,5.0,2.0,1.0,0.0,0.0,2.4,3.2,3.0,70.0,68.0,68.0,71.0,76.0,76.0,76.0,76.0
77,2008/2009,19/10/08,Stoke,Tottenham,2.0,1.0,H,1.0,1.0,D,L Mason,7.0,11.0,3.0,6.0,12.0,12.0,6.0,1.0,1.0,2.0,0.0,2.0,3.2,3.2,2.3,75.0,68.0,67.0,70.0,80.0,80.0,79.0,79.0
78,2008/2009,20/10/08,Newcastle,Man City,2.0,2.0,D,1.0,1.0,D,R Styles,6.0,20.0,2.0,8.0,15.0,15.0,5.0,10.0,0.0,2.0,1.0,0.0,3.0,3.25,2.38,81.0,76.0,76.0,76.0,82.0,79.0,78.0,79.0
79,2008/2009,25/10/08,Blackburn,Middlesbrough,1.0,1.0,D,0.0,0.0,D,M Dean,13.0,5.0,5.0,2.0,17.0,11.0,9.0,2.0,3.0,1.0,0.0,0.0,2.05,3.3,3.6,78.0,76.0,76.0,76.0,80.0,75.0,73.0,74.0
80,2008/2009,25/10/08,Everton,Man United,1.0,1.0,D,0.0,1.0,A,A Wiley,13.0,18.0,9.0,14.0,17.0,11.0,5.0,9.0,3.0,3.0,0.0,0.0,6.5,3.8,1.53,82.0,75.0,78.0,78.0,86.0,85.0,84.0,84.0
81,2008/2009,25/10/08,Sunderland,Newcastle,2.0,1.0,H,1.0,1.0,D,M Riley,14.0,10.0,3.0,5.0,11.0,11.0,2.0,4.0,1.0,2.0,0.0,0.0,2.2,3.2,3.4,78.0,74.0,72.0,75.0,81.0,76.0,76.0,76.0
82,2008/2009,25/10/08,West Brom,Hull,0.0,3.0,A,0.0,0.0,D,L Probert,24.0,16.0,16.0,10.0,12.0,13.0,14.0,5.0,1.0,2.0,0.0,0.0,2.15,3.3,3.4,68.0,71.0,69.0,71.0,70.0,68.0,68.0,71.0
83,2008/2009,26/10/08,Chelsea,Liverpool,0.0,1.0,A,0.0,1.0,A,H Webb,14.0,8.0,5.0,3.0,17.0,13.0,4.0,2.0,3.0,3.0,0.0,0.0,1.91,3.2,4.33,87.0,85.0,84.0,84.0,85.0,83.0,80.0,81.0
84,2008/2009,26/10/08,Man City,Stoke,3.0,0.0,H,1.0,0.0,H,S Tanner,18.0,9.0,12.0,6.0,12.0,16.0,6.0,8.0,1.0,0.0,0.0,0.0,1.44,4.33,7.0,82.0,79.0,78.0,79.0,75.0,68.0,67.0,70.0
85,2008/2009,26/10/08,Portsmouth,Fulham,1.0,1.0,D,0.0,0.0,D,M Halsey,21.0,9.0,12.0,5.0,7.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,1.83,3.3,4.6,78.0,79.0,76.0,76.0,80.0,74.0,72.0,74.0
86,2008/2009,26/10/08,Tottenham,Bolton,2.0,0.0,H,1.0,0.0,H,A Marriner,19.0,10.0,9.0,3.0,9.0,16.0,3.0,4.0,0.0,3.0,0.0,1.0,1.95,3.3,4.0,80.0,80.0,79.0,79.0,75.0,75.0,72.0,74.0
87,2008/2009,26/10/08,West Ham,Arsenal,0.0,2.0,A,0.0,0.0,D,P Dowd,7.0,20.0,3.0,10.0,13.0,9.0,4.0,9.0,2.0,3.0,1.0,0.0,6.0,3.8,1.57,76.0,76.0,76.0,76.0,85.0,83.0,83.0,81.0
88,2008/2009,26/10/08,Wigan,Aston Villa,0.0,4.0,A,0.0,1.0,A,M Jones,17.0,9.0,5.0,7.0,14.0,8.0,9.0,4.0,1.0,2.0,0.0,0.0,2.6,3.2,2.75,75.0,74.0,71.0,73.0,81.0,81.0,77.0,78.0
89,2008/2009,28/10/08,Newcastle,West Brom,2.0,1.0,H,2.0,0.0,H,M Dean,10.0,14.0,5.0,4.0,13.0,11.0,7.0,8.0,0.0,4.0,0.0,0.0,1.95,3.25,3.3,81.0,76.0,76.0,76.0,68.0,71.0,69.0,71.0
90,2008/2009,29/10/08,Arsenal,Tottenham,4.0,4.0,D,1.0,1.0,D,M Atkinson,20.0,9.0,12.0,6.0,8.0,17.0,9.0,1.0,1.0,4.0,0.0,0.0,1.36,4.0,7.0,85.0,83.0,83.0,81.0,80.0,80.0,79.0,79.0
91,2008/2009,29/10/08,Aston Villa,Blackburn,3.0,2.0,H,1.0,1.0,D,K Stroud,8.0,11.0,4.0,5.0,5.0,17.0,4.0,5.0,0.0,1.0,0.0,0.0,1.67,3.3,4.5,81.0,81.0,77.0,78.0,78.0,76.0,76.0,76.0
92,2008/2009,29/10/08,Bolton,Everton,0.0,1.0,A,0.0,0.0,D,P Dowd,18.0,11.0,12.0,7.0,17.0,12.0,5.0,3.0,1.0,2.0,0.0,0.0,2.38,3.1,2.62,75.0,75.0,72.0,74.0,82.0,75.0,78.0,78.0
93,2008/2009,29/10/08,Fulham,Wigan,2.0,0.0,H,1.0,0.0,H,H Webb,7.0,5.0,2.0,2.0,9.0,14.0,2.0,2.0,0.0,2.0,0.0,0.0,2.25,3.2,2.75,80.0,74.0,72.0,74.0,75.0,74.0,71.0,73.0
94,2008/2009,29/10/08,Hull,Chelsea,0.0,3.0,A,0.0,1.0,A,A Marriner,10.0,27.0,5.0,11.0,11.0,13.0,5.0,5.0,0.0,2.0,0.0,0.0,7.0,3.75,1.4,70.0,68.0,68.0,71.0,87.0,85.0,84.0,84.0
95,2008/2009,29/10/08,Liverpool,Portsmouth,1.0,0.0,H,0.0,0.0,D,S Tanner,21.0,4.0,10.0,1.0,13.0,12.0,7.0,1.0,0.0,3.0,0.0,0.0,1.36,3.75,8.0,85.0,83.0,80.0,81.0,78.0,79.0,76.0,76.0
